Produto;Marca;Index
Nibs Nakau de Cacau Cru 100g;Nakau;320
ACUCAR GRAMIXO NATURUS 1KG;Naturus;321
Farinha de Mandioca Cruzeiro do Sul - 1 kg - Naturus;Naturus;322
FARINHA DE MANDIOCA CRUZEIRO DO SUL NATURUS 1KG;Naturus;323
FARINHA DE MANDIOCA CRUZEIRO DO SUL NATURUS 1KG  Lote 01 Val 11/20;Naturus;324
FARINHA DE MANDIOCA CRUZEIRO DO SUL NATURUS 1KG  Lote 02 Val 08/21;Naturus;325
Farinha de Mandioca de Cruzeiro do Sul - 1kg - Naturus;Naturus;326
FARINHA DE MANDIOCA PREMIUM NATURUS 500GR;Naturus;327
FARINHA DE MANDIOCA PREMIUM NATURUS 500GR  Lote 01 Val 11/20;Naturus;328
FARINHA DE TAPIOCA NATURUS 500GR;Naturus;329
FARINHA DE TAPIOCA NATURUS 500GR Lote 01 Val 11/20;Naturus;330
Oleo Acai;Oleicos;331
Amostra oleo de acai 30 ml;Oleicos;332
Amostra oleo de Buriti 30 ml;Oleicos;333
Amostra oleo de Pataua 30 ml;Oleicos;334
ARGILA  VERDE kg;Oleicos;335
ARGILA AMARELA kg;Oleicos;336
argila branca;Oleicos;337
argila rosa;Oleicos;338
argila verde;Oleicos;339
Argila Verde - Oleicos;Oleicos;340
Argila Vermelha;Oleicos;341
ARGILA VERMELHA kg;Oleicos;342
Oleo Acai - Kaline;Oleicos;343
Oleo Buriti;Oleicos;344
OLEO COPAIBA;Oleicos;345
OLEO DE ANDIROBA;Oleicos;346
Oleo de Andiroba 5 litros;Oleicos;347
OLEO DE CASTANHA;Oleicos;348
Oleo de Castanha do Para;Oleicos;349
OLEO DE COPAIBA;Oleicos;350
Oleo de Copaiba - Oleicos;Oleicos;351
OLEO DE COPAIBA 1 LITRO;Oleicos;352
Oleo de Copaiba 5 litros;Oleicos;353
OLEO DE PATAUA;Oleicos;354
OLEO VEGETAL DE CASTANHA;Oleicos;355
OV BURITI 5 LITROS;Oleicos;356
Mel de Abelha sem ferrao - 150 ml - Lote:005 Val:23/07/21;Peabiru;357
Mel de Abelha sem Ferrao - 150g - Peabiru :Almerim;Peabiru;358
Mel de Abelha sem Ferrao - 150g - Peabiru :Barreirinha;Peabiru;359
Mel de Abelha sem Ferrao - 150g - Peabiru :Curuca;Peabiru;360
Mel de Abelha sem Ferrao - 150g - Peabiru Lote:Almerim;Peabiru;361
Mel de Abelha sem Ferrao - 150g - Peabiru Lote:Curuca;Peabiru;362
MEL DE ABELHA SEM FERRAO 150G;Peabiru;363
MEL DE ABELHA SEM FERRAO 150G - Peabiru Lote:005 Val:23/07/21;Peabiru;364
MEL DE ABELHA SEM FERRAO 150G Lote: 004  Val 10/04/21;Peabiru;365
MEL DE ABELHA SEM FERRAO 150G Lote: 004 Val 10/04/21;Peabiru;366
MEL DE ABELHA SEM FERRAO 150G Lote: 005 Val 23/07/21;Peabiru;367
MEL DE ABELHA SEM FERRAO 150G Lote: 006 safra 2019 (itapiranga);Peabiru;368
MEL DE ABELHA SEM FERRAO 150G Lote: 007 safra 2019 (curuca);Peabiru;369
MEL DE ABELHA SEM FERRAO 150G Lote: 008 safra 2019 (almeirim);Peabiru;370
MEL DE ABELHA SEM FERRAO 150G Lote: 009 safra 2019 (barreirinha);Peabiru;371
MEL DE ABELHA SEM FERRAO 300G;Peabiru;372
MEL DE ABELHA SEM FERRAO 300G Lote: 003 Val 09/04/21;Peabiru;373
Cafe de Acai 250g - Raizes do Acai;Raízes do Acai;374
ABACAXI P. PAST. 0,5MM BR 10KG;Ricaeli;375
Cupulate 60% Kg;Ricaeli;376
MANGA POLPA PAST. BR 10 KG;Ricaeli;377
POLPA CUPUACU 1KG;Ricaeli;378
FOLHA DA CAPEBA EM LATEX ORGANICO;Seringo;379
FOLHA DA CAPEGA EM LATEX ORGANICO;Seringo;380
FOLHA DE VITORIA REGIA EM LATEX ORGANICO;Seringo;381
FOLHAS DA SERINGUEIRA EM LATEX ORGANICO;Seringo;382
SANDALIA DE DEDO SERINGO - BORRACHA NATURAL ORGANICA;Seringo;383
Sandalia de Dedo Seringo Tam: 37/38;Seringo;384
"Sandalia de Dedo Seringo Tamanho:33;cor:branca";Seringo;385
"Sandalia de Dedo Seringo Tamanho:33;cor:Mescla Cinza e Branco";Seringo;386
"Sandalia de Dedo Seringo Tamanho:35;cor:branca";Seringo;387
"Sandalia de Dedo Seringo Tamanho:35;cor:Cinza";Seringo;388
"Sandalia de Dedo Seringo Tamanho:35;cor:Mescla Cinza";Seringo;389
"Sandalia de Dedo Seringo Tamanho:35;cor:Mescla Verde";Seringo;390
"Sandalia de Dedo Seringo Tamanho:37;cor:branca";Seringo;391
"Sandalia de Dedo Seringo Tamanho:37;cor:Mescla Branco e Verde Oliva";Seringo;392
"Sandalia de Dedo Seringo Tamanho:37;cor:Mescla Cinza";Seringo;393
"Sandalia de Dedo Seringo Tamanho:37;cor:Mescla Preto e Branco";Seringo;394
"Sandalia de Dedo Seringo Tamanho:37;cor:Mescla Vermelho";Seringo;395
"Sandalia de Dedo Seringo Tamanho:37;cor:Mescla Vinho";Seringo;396
"Sandalia de Dedo Seringo Tamanho:37;cor:Mostarda";Seringo;397
"Sandalia de Dedo Seringo Tamanho:37;cor:Multicolorido Verde";Seringo;398
"Sandalia de Dedo Seringo Tamanho:37;cor:Vinho";Seringo;399
